domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
filehorse.com,0,en,13,728,721,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,18,0,1,0,3,0,1,0
toadforsqlserver.com,0,en,9,476,761,20,0,0,1,1,2,3,1,2,0,0,2,0,1,0,0,0,2,0,0,1,0,1,3,6,0,0,0,0,0,0,1,0,3,2,1,1,1,1,2,0,1,4,0,0,1,1,1,0,0
sso.quicklaunch.io,0,en,11,58,137,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flextronics.com,0,en,38,1014,731,15,0,0,0,0,2,4,0,0,0,0,3,0,3,1,0,0,2,1,1,0,0,7,0,8,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,8,3,5,0,5,0,0,0,0
scottsdalegolf.co.uk,0,en,2,448,414,20,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrentalgateway.com,0,en,4,265,473,20,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,2,0,0,4,1,1,1,0,0,0,3,0,0,0,1,0,0
www.infoblox.com,0,en,26,2380,2012,16,0,0,0,1,14,4,1,5,0,0,3,0,11,3,1,0,1,0,0,1,1,27,1,3,0,2,0,0,1,0,3,4,14,0,1,10,0,18,3,4,5,2,3,2,5,0,2,0,0
bengals.com,0,en,4,4126,4733,11,0,1,0,3,1,0,3,3,0,0,2,2,2,0,4,0,25,2,3,0,2,3,11,0,5,0,0,1,0,0,2,1,2,2,2,3,3,0,0,2,2,5,41,31,1,0,0,0,7
mylvhn.org,0,en,28,149,131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
vacareers.va.gov,0,en,4,719,1104,16,0,0,1,1,1,0,2,4,0,0,2,0,0,1,0,1,2,1,2,0,4,4,0,2,0,0,0,0,0,0,3,4,8,8,1,4,3,0,0,6,1,1,5,1,11,0,2,0,0
usf.edu,0,en,29,688,815,7,0,0,3,1,0,0,1,4,0,0,0,0,1,0,0,0,4,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,1,1,0,1,1,1,3,3,1,4,1,1,2,1,0,0
admixer.com,0,en,48,982,1247,11,0,0,1,0,0,5,0,0,0,0,2,0,4,4,0,0,1,0,0,0,1,0,0,7,0,2,0,0,0,0,3,0,0,1,3,0,0,11,0,0,2,0,0,1,0,1,0,0,0
www.nicekicks.com,0,en,19,789,541,17,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j2team.github.io,0,en,4,54,297,16,0,2,0,0,0,2,3,0,0,0,2,2,2,0,0,0,2,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.directline.com,0,en,2,715,1001,18,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0,0,5,14,0,0,0,1,0,1,1,2,0,2,0,0,23,0,2,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0
myprotime.eu,0,en,9,945,1465,12,0,0,0,0,0,0,0,3,0,0,0,3,9,3,0,2,0,1,0,2,0,4,1,0,1,8,0,3,0,0,0,0,3,2,1,0,0,6,17,0,0,2,3,3,0,0,0,0,0
pacer.gov,0,en,26,591,1113,9,0,0,0,1,5,0,1,22,0,0,6,1,3,0,4,0,0,0,6,1,3,2,1,0,0,15,0,0,0,0,1,4,2,7,1,2,6,0,0,0,0,3,0,0,9,4,2,0,0
contextures.com,0,en,10,291,856,15,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,3,0,11,3,0,0,1,16,0,0,0,0,0,0,1,0,0,3,1,6,0,0,2,0,1,0,1,0,1,0,0,0,0
www.mcarthurglen.com,0,en,2,383,467,20,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
forum.miata.net,0,en,1,71,316,15,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,0,0
irishcentral.com,0,en,102,818,1145,16,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,6,2,1,0,1,0,0
v3i.rweb-images.com,0,en,0,29,138,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
www.idsociety.org,0,en,12,628,976,17,0,0,0,2,0,0,1,5,0,1,2,6,2,0,0,0,5,1,0,0,2,1,0,1,1,0,0,0,0,0,5,0,1,0,1,0,5,1,0,15,2,4,3,1,1,0,0,0,0
www.vintag.es,0,en,7,663,2607,13,2,0,0,0,0,0,1,0,1,2,0,0,1,2,0,0,2,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,1,0,0,8,0,0,0,1,4,3,0,0,0,7
sasol.com,0,en,88,1301,1256,9,0,0,0,1,0,0,3,1,0,0,0,0,4,1,0,0,4,2,11,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,7,3,7,1,0,0,4,2,0,2,0,6,0,0
